"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Footer Links Navigation","5","0","","0"
"0","","0","Menu Navigation","5","0","","0"
"0","","0","Product Search","1","0","","0"
"0","","0","Shopping Cart","1","0","","0"
"0","","0","Homepage Slider","1","0","","0"
"0","","0","Wishlist Functionality","1","0","","0"
